Company,Products,Cluster_value
amazon prod,"['AWS', 'Whole Foods', 'Prime Now', 'Alexa', 'Echo', 'Prime Video', 'Fire TV', 'Prime membership', 'Kindle', 'Amazon Fresh', 'Amazon Music', 'Twitch', 'Amazon Studios', 'Amazon Prime']",2
apple product,"['iPhone', 'iPad', 'iOS', 'Apple Watch', 'App Store', 'Apple Pay', 'AirPods', 'Apple Music', 'TV', 'iPhone X', 'Siri', 'AppleCare', 'iPad Pro', 'iPhone 7 Plus']",4
boa product,"['Loan', 'Credit', 'brokerage', 'Consumer Banking', 'investment banking', 'credit card', 'checking', 'savings', 'shares', 'digital banking', 'checking accounts', 'advisory', 'asset management', 'bond']",1
iti product,"['Credit', 'Loan', 'savings', 'branded cards', 'Fixed income', 'retail banking', 'shares', 'Branded Cards', 'Investment Banking', 'Private Bank', 'investment banking', 'Citigold', 'corporate lending', 'Corporate Lending', 'private banking', 'Treasury and Trade Solutions', 'Retail banking', 'FX', 'Global Consumer Banking']",1
facebook product,"['Instagram', 'Messenger', 'WhatsApp', 'Oculus', 'direct', 'Internet.org', 'Facebook ads', 'moments', 'Atlas', 'Facebook Live', 'FTC', 'moves', 'Instagram business', 'Facebook Marketplace', 'Facebook Lite', 'Facebook pages', 'Direct', 'WhatsApp Business', 'Facebook Watch']",0
google prod,"['Google Cloud', 'Google Assistant', 'direct', 'Google Home', 'Google Maps', 'moments', 'Gmail', 'Pixel', 'Nexus', 'FX basis', 'Chromecast', 'Google home', 'Google assistant', 'moves', 'Google Wifi', 'pixel', 'Google ads', 'Google Analytics', 'Google Ads']",3
gs product,"['Credit', 'Loan', 'Investment Banking', 'Fixed income', 'investment banking', 'advisory', 'private equity', 'asset management', 'shares', 'brokerage', 'savings', 'Asset management', 'credit card', 'FX', 'bond', 'corporate lending', 'Consumer Banking', 'Advisory', 'Investment banking']",1
jpmc product,"['Loan', 'Credit', 'Fixed income', 'investment banking', 'credit card', 'Asset management', 'savings', 'advisory', 'bond', 'Advisory', 'private equity', 'asset management', 'CDs', 'brokerage', 'Investment Banking', 'checking', 'money market', 'insurance', 'digital banking']",1
morgan product,"['Fixed income', 'Credit', 'Loan', 'advisory', 'asset management', 'brokerage', 'savings', 'investment banking', 'shares', 'Investment Banking', 'Asset management', 'private equity', 'FX', 'Advisory', 'CDs', 'Investment banking', 'money market', 'bond', 'corporate lending']",1
wellsfargo product,"['Loan', 'Credit', 'credit card', 'checking', 'savings', 'insurance', 'shares', 'brokerage', 'retail banking', 'investment banking', 'advisory', 'checking account', 'Credit card', 'bond', 'checking accounts', 'Insurance', 'private equity', 'asset management', 'money market']",1
